IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
154.197.121.30,8443,TRUE,LAX,US,North America,Los Angeles,328608,Africa-on-Cloud-AS,651,7.53
168.138.191.71,14978,TRUE,SIN,SG,Asia Pacific,Singapore,31898,ORACLE-BMC-31898,301,7.23
47.236.83.196,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",354,7.23
158.224.83.162,8443,TRUE,LHR,GB,Europe,London,26585,SIAC-SFTI,769,7.12
168.138.166.213,10500,TRUE,SIN,SG,Asia Pacific,Singapore,31898,ORACLE-BMC-31898,841,7.08
47.236.116.26,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",365,6.88
158.224.83.6,8443,TRUE,LHR,GB,Europe,London,26585,SIAC-SFTI,747,6.81
59.1.58.28,10617,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,380,6.73
8.219.222.98,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",358,6.62
8.222.164.44,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",411,6.55
154.197.121.35,8443,TRUE,LAX,US,North America,Los Angeles,328608,Africa-on-Cloud-AS,613,6.45
158.224.83.7,8443,TRUE,LHR,GB,Europe,London,26585,SIAC-SFTI,779,6.41
163.47.9.27,8443,TRUE,SIN,SG,Asia Pacific,Singapore,14061,DIGITALOCEAN-ASN,351,6.39
8.219.167.65,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",501,6.32
158.224.83.164,8443,TRUE,LHR,GB,Europe,London,26585,SIAC-SFTI,751,6.31
8.222.237.131,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",284,6.25
18.143.171.10,8443,TRUE,SIN,SG,Asia Pacific,Singapore,16509,AMAZON-02,287,6.17
194.36.179.17,8443,TRUE,SIN,SG,Asia Pacific,Singapore,200740,First Server Limited,287,6.17
216.221.213.171,8443,TRUE,LHR,GB,Europe,London,26585,SIAC-SFTI,766,6.17
158.224.83.76,8443,TRUE,LHR,GB,Europe,London,26585,SIAC-SFTI,801,5.95
220.89.23.192,39315,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,329,5.81
47.236.114.23,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",365,5.76
8.222.212.172,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",416,5.71
154.197.121.53,8443,TRUE,LAX,US,North America,Los Angeles,328608,Africa-on-Cloud-AS,689,5.70
8.222.167.8,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",247,5.68
27.0.234.9,17103,TRUE,SIN,SG,Asia Pacific,Singapore,149020,WebHorizon Internet Services,271,5.53
8.219.151.193,8443,TRUE,SIN,SG,Asia Pacific,Singapore,45102,"Alibaba US Technology Co., Ltd.",504,5.50
178.128.215.206,8443,TRUE,SIN,SG,Asia Pacific,Singapore,14061,DIGITALOCEAN-ASN,422,5.44
154.197.121.62,8443,TRUE,LAX,US,North America,Los Angeles,328608,Africa-on-Cloud-AS,663,5.34
